202,203,202,203,202,203,202,203,137,138,-1,24,25,-1,72,73,-1,40,153,169,169,169,169,169,169,169,169,169,153,153
218,219,218,219,218,219,218,219,169,170,-1,40,41,-1,88,89,-1,56,57,-1,-1,-1,-1,132,-1,-1,135,135,152,153
103,181,-1,-1,181,-1,-1,-1,-1,132,-1,56,57,-1,104,105,-1,72,73,-1,-1,-1,-1,148,-1,-1,151,151,152,153
103,197,-1,-1,197,-1,-1,-1,-1,148,-1,72,73,-1,120,121,-1,88,89,-1,-1,-1,-1,164,-1,-1,-1,-1,152,153
103,196,-1,-1,213,-1,-1,96,-1,164,-1,88,89,-1,-1,181,-1,104,105,-1,99,83,-1,-1,-1,-1,-1,-1,152,153
103,196,-1,-1,-1,-1,-1,208,-1,-1,-1,104,105,-1,-1,197,-1,56,57,184,185,185,186,-1,-1,-1,-1,-1,152,153
103,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,121,-1,-1,213,-1,72,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,153
103,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,-1,-1,-1,-1,-1,88,89,-1,-1,-1,-1,-1,-1,113,-1,-1,152,153
103,212,-1,208,-1,-1,-1,-1,-1,-1,-1,148,-1,-1,-1,198,199,104,105,-1,-1,-1,-1,-1,-1,187,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,83,98,83,-1,164,-1,-1,-1,-1,-1,120,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,136,137,138,-1,-1,-1,-1,-1,-1,-1,-1,181,-1,-1,98,-1,-1,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,152,153,154,-1,-1,-1,-1,-1,-1,-1,-1,197,-1,184,185,186,-1,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,168,169,170,-1,-1,-1,-1,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,-1,32,33,34,152,153
103,-1,143,1,2,-1,-1,-1,-1,-1,-1,-1,-1,208,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,153
103,-1,16,17,18,83,99,83,83,83,83,-1,-1,-1,-1,-1,-1,112,196,-1,-1,-1,83,99,83,-1,-1,-1,152,153
103,-1,136,137,137,137,137,137,137,137,138,-1,-1,-1,-1,-1,-1,187,196,-1,-1,-1,136,137,138,-1,-1,-1,152,153
103,-1,152,153,153,153,153,153,153,153,154,-1,-1,-1,-1,-1,-1,87,196,-1,-1,-1,152,153,154,-1,-1,-1,152,153
103,-1,152,153,153,169,169,169,169,169,170,-1,-1,-1,-1,-1,-1,103,196,-1,-1,-1,168,169,170,-1,-1,-1,152,153
103,-1,152,153,154,87,132,-1,-1,132,-1,-1,-1,-1,-1,182,183,103,196,-1,-1,-1,181,181,181,-1,-1,-1,152,153
103,-1,152,153,154,103,148,-1,-1,148,-1,-1,-1,-1,-1,-1,-1,103,196,-1,-1,-1,197,197,197,-1,-1,-1,152,153
103,-1,152,153,154,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,212,-1,-1,-1,196,196,213,-1,-1,-1,152,153
103,-1,168,169,170,-1,-1,-1,-1,-1,-1,-1,83,112,83,83,-1,103,-1,-1,-1,-1,196,196,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,177,178,179,-1,103,-1,-1,-1,-1,196,213,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,132,-1,87,-1,103,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,148,-1,103,-1,103,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,152,153
103,-1,-1,-1,-1,-1,83,83,83,115,-1,-1,103,164,-1,103,-1,103,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,152,153
103,83,83,98,-1,-1,176,177,178,179,-1,-1,103,-1,-1,103,-1,103,-1,-1,-1,-1,196,-1,-1,-1,-1,-1,152,153
103,176,178,179,-1,-1,87,-1,-1,87,-1,-1,103,-1,-1,103,-1,103,-1,-1,-1,-1,212,-1,-1,-1,-1,-1,152,153
103,87,67,87,-1,-1,103,70,71,103,-1,-1,103,-1,-1,103,-1,103,36,37,38,-1,-1,-1,-1,-1,-1,-1,152,153
119,103,67,103,-1,-1,103,-1,-1,103,67,-1,103,-1,-1,103,-1,103,52,53,54,-1,-1,-1,-1,-1,-1,-1,168,169
119,103,-1,103,-1,-1,103,-1,-1,103,-1,-1,103,-1,-1,103,-1,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
